# TimeFrame
#
# t_0 = 0.000000
# t_end = 1000.000000
# dt = 0.010000
#
# Neuron
#
# type = LIF
# mu = 1.100000
# D = 0.000500
#
# Simulation
#
# type = suscept_sim
# c = 0.500000
# N_neurons = 100000
#
# Data format: f, Re[chi_1(f)], Im[chi_1(f)], Re[chi_2(f,f)], Im[chi_2(f,f)]
0.000000,-nan,-nan,-nan,-nan
0.457000,5.906791,-3.732936,57.549081,-33.119333
0.458000,5.599639,-3.745728,44.820259,-15.586529
0.459000,5.610280,-3.637705,57.858966,-49.640205
0.460000,5.438731,-3.666809,29.713972,-28.837252
0.461000,5.402208,-3.559498,49.120352,-38.871888
0.462000,5.344983,-3.627774,27.865469,26.620275
0.463000,5.015996,-3.438412,-18.888120,8.551096
0.464000,5.029171,-3.441005,3.842775,-46.235410
0.465000,4.803673,-3.314305,48.578967,-60.436577
0.466000,4.862256,-3.385187,-25.984390,-47.169918
0.467000,4.807937,-3.230348,28.011166,-52.962791
0.468000,4.776437,-3.265508,31.150915,-2.118682
0.469000,4.510928,-3.118121,29.145764,12.658858
0.470000,4.520431,-3.207679,-20.506987,-42.646239
0.471000,4.396720,-3.137313,14.124856,-38.315375
0.472000,4.315688,-3.070554,-10.858067,-66.179035
0.473000,4.312235,-3.094102,-23.824700,-3.772800
0.474000,4.236863,-2.909041,18.161879,-34.310788
0.475000,4.108334,-2.897346,38.163837,-83.114238
0.476000,4.073387,-2.840934,16.364479,-48.358880
0.477000,4.046401,-2.762179,-1.580689,-39.514523
0.478000,3.909634,-2.821356,7.081282,-29.212299
0.479000,3.945185,-2.776248,-13.435982,-21.898240
0.480000,3.797606,-2.756031,-3.420233,-32.442350
0.481000,3.824897,-2.600624,-12.500835,-32.266636
0.482000,3.712283,-2.618623,-0.223716,-2.432342
0.483000,3.792506,-2.652259,-14.993233,-32.743084
0.484000,3.597376,-2.590931,7.972392,22.522351
0.485000,3.582860,-2.541200,-2.159186,-45.326641
0.486000,3.671765,-2.453259,10.812031,-9.056363
0.487000,3.606465,-2.430919,9.310130,10.002176
0.488000,3.458351,-2.415847,-2.361900,-9.859586
0.489000,3.468157,-2.350587,-4.260397,39.005186
0.490000,3.475594,-2.361410,-45.429864,-8.679907
0.491000,3.347369,-2.295595,13.438164,-4.008497
0.492000,3.308092,-2.256211,-33.691735,3.837701
0.493000,3.316283,-2.186278,-3.837410,22.291600
0.494000,3.343007,-2.154499,-19.158401,-19.992248
0.495000,3.319768,-2.164932,28.839005,-19.178246
0.496000,3.319676,-2.089727,32.132180,-9.325542
0.497000,3.192408,-2.099453,29.763533,8.656574
0.498000,3.247212,-2.087460,-24.010574,-11.606709
0.499000,3.094065,-2.014500,-26.267612,16.281579
0.500000,3.188261,-2.039604,24.125771,6.333091
0.501000,3.170184,-2.015053,-21.544983,-14.507354
0.502000,3.115329,-1.965772,7.000301,-1.767756
0.503000,3.127797,-1.913426,9.151437,-0.141862
